Fecha;Aplicacion;Pais;Dispositivo;Instalaciones;Desinstalaciones;Impresiones
10/10/2017;eticsearch;ES;iPad;6;0;0
11/10/2017;eticsearch;ES;iPad;1;0;0
16/10/2017;eticsearch;ES;iPad;3;0;0
17/10/2017;eticsearch;ES;iPad;4;0;0
21/10/2017;eticsearch;ES;iPad;1;0;0
25/10/2017;eticsearch;ES;iPad;1;0;0
28/10/2017;eticsearch;ES;iPad;1;0;0
04/11/2017;eticsearch;ES;iPad;1;0;0
10/11/2017;eticsearch;ES;iPad;1;0;0
16/11/2017;eticsearch;ES;iPad;2;0;0
22/11/2017;eticsearch;ES;iPad;1;0;0
23/11/2017;eticsearch;ES;iPad;1;0;0
25/11/2017;eticsearch;ES;iPad;1;0;0
04/12/2017;eticsearch;ES;iPad;1;0;0
05/01/2018;eticsearch;ES;iPad;1;0;0
13/03/2018;eticsearch;ES;iPad;1;0;0
15/03/2018;eticsearch;ES;iPad;1;0;0
21/03/2018;eticsearch;ES;iPad;1;0;0
10/10/2017;eticsearch;ES;iPhone;22;0;0
11/10/2017;eticsearch;ES;iPhone;3;0;0
13/10/2017;eticsearch;ES;iPhone;2;0;0
16/10/2017;eticsearch;US;iPhone;16;0;0
17/10/2017;eticsearch;ES;iPhone;2;0;0
18/10/2017;eticsearch;ES;iPhone;2;0;0
19/10/2017;eticsearch;ES;iPhone;3;0;0
20/10/2017;eticsearch;ES;iPhone;2;0;0
21/10/2017;eticsearch;ES;iPhone;1;0;0
23/10/2017;eticsearch;ES;iPhone;1;0;0
25/10/2017;eticsearch;ES;iPhone;3;0;0
26/10/2017;eticsearch;ES;iPhone;2;0;0
27/10/2017;eticsearch;US;iPhone;1;0;0
28/10/2017;eticsearch;ES;iPhone;1;0;0
29/10/2017;eticsearch;ES;iPhone;1;0;0
30/10/2017;eticsearch;ES;iPhone;1;0;0
31/10/2017;eticsearch;ES;iPhone;1;0;0
02/11/2017;eticsearch;ES;iPhone;1;0;0
03/11/2017;eticsearch;ES;iPhone;1;0;0
05/11/2017;eticsearch;ES;iPhone;1;0;0
09/11/2017;eticsearch;ES;iPhone;2;0;0
10/11/2017;eticsearch;ES;iPhone;2;0;0
13/11/2017;eticsearch;ES;iPhone;2;0;0
14/11/2017;eticsearch;ES;iPhone;1;0;0
15/11/2017;eticsearch;ES;iPhone;1;0;0
16/11/2017;eticsearch;ES;iPhone;3;0;0
18/11/2017;eticsearch;ES;iPhone;2;0;0
21/11/2017;eticsearch;ES;iPhone;6;0;0
26/11/2017;eticsearch;ES;iPhone;1;0;0
27/11/2017;eticsearch;ES;iPhone;3;0;0
28/11/2017;eticsearch;ES;iPhone;1;0;0
30/11/2017;eticsearch;ES;iPhone;2;0;0
02/12/2017;eticsearch;ES;iPhone;1;0;0
04/12/2017;eticsearch;ES;iPhone;1;0;0
07/12/2017;eticsearch;ES;iPhone;1;0;0
11/12/2017;eticsearch;ES;iPhone;1;0;0
13/12/2017;eticsearch;ES;iPhone;1;0;0
16/12/2017;eticsearch;ES;iPhone;1;0;0
14/01/2018;eticsearch;ES;iPhone;1;0;0
22/01/2018;eticsearch;ES;iPhone;1;0;0
24/01/2018;eticsearch;ES;iPhone;1;0;0
05/02/2018;eticsearch;ES;iPhone;1;0;0
07/02/2018;eticsearch;ES;iPhone;1;0;0
09/02/2018;eticsearch;ES;iPhone;1;0;0
13/02/2018;eticsearch;ES;iPhone;2;0;0
14/02/2018;eticsearch;ES;iPhone;4;0;0
16/02/2018;eticsearch;ES;iPhone;1;0;0
26/02/2018;eticsearch;ES;iPhone;1;0;0
15/03/2018;eticsearch;ES;iPhone;2;0;0
03/04/2018;eticsearch;ES;iPhone;1;0;0
10/04/2018;eticsearch;US;iPhone;1;0;0
10/10/2017;eticsearch;ES;iPad;6;0;22
11/10/2017;eticsearch;ES;iPad;1;0;14
12/10/2017;eticsearch;ES;iPad;0;0;26
13/10/2017;eticsearch;ES;iPad;0;0;26
14/10/2017;eticsearch;ES;iPad;0;0;14
15/10/2017;eticsearch;ES;iPad;0;0;18
16/10/2017;eticsearch;ES;iPad;3;0;25
17/10/2017;eticsearch;ES;iPad;4;0;12
18/10/2017;eticsearch;ES;iPad;0;0;10
19/10/2017;eticsearch;ES;iPad;0;0;13
20/10/2017;eticsearch;ES;iPad;0;0;11
21/10/2017;eticsearch;ES;iPad;1;0;10
22/10/2017;eticsearch;ES;iPad;0;0;11
23/10/2017;eticsearch;ES;iPad;0;0;13
24/10/2017;eticsearch;ES;iPad;0;0;14
25/10/2017;eticsearch;ES;iPad;1;0;19
26/10/2017;eticsearch;ES;iPad;0;0;15
27/10/2017;eticsearch;ES;iPad;0;0;14
28/10/2017;eticsearch;ES;iPad;1;0;8
29/10/2017;eticsearch;ES;iPad;0;0;13
30/10/2017;eticsearch;ES;iPad;0;0;7
31/10/2017;eticsearch;ES;iPad;0;0;9
01/11/2017;eticsearch;ES;iPad;0;0;6
02/11/2017;eticsearch;ES;iPad;0;0;17
03/11/2017;eticsearch;ES;iPad;0;0;8
04/11/2017;eticsearch;ES;iPad;1;0;5
05/11/2017;eticsearch;ES;iPad;0;0;9
06/11/2017;eticsearch;ES;iPad;0;0;9
07/11/2017;eticsearch;ES;iPad;0;0;15
08/11/2017;eticsearch;ES;iPad;0;0;21
09/11/2017;eticsearch;ES;iPad;0;0;14
10/11/2017;eticsearch;ES;iPad;1;0;14
11/11/2017;eticsearch;ES;iPad;0;0;12
12/11/2017;eticsearch;ES;iPad;0;0;5
13/11/2017;eticsearch;ES;iPad;0;0;13
14/11/2017;eticsearch;ES;iPad;0;0;15
15/11/2017;eticsearch;ES;iPad;0;0;19
16/11/2017;eticsearch;ES;iPad;2;0;20
17/11/2017;eticsearch;ES;iPad;0;0;15
18/11/2017;eticsearch;ES;iPad;0;0;11
19/11/2017;eticsearch;ES;iPad;0;0;10
20/11/2017;eticsearch;ES;iPad;0;0;11
21/11/2017;eticsearch;ES;iPad;0;0;18
22/11/2017;eticsearch;ES;iPad;1;0;14
23/11/2017;eticsearch;ES;iPad;1;0;33
24/11/2017;eticsearch;ES;iPad;0;0;18
25/11/2017;eticsearch;ES;iPad;1;0;11
26/11/2017;eticsearch;ES;iPad;0;0;16
27/11/2017;eticsearch;ES;iPad;0;0;18
28/11/2017;eticsearch;ES;iPad;0;0;21
29/11/2017;eticsearch;ES;iPad;0;0;21
30/11/2017;eticsearch;ES;iPad;0;0;20
01/12/2017;eticsearch;ES;iPad;0;0;22
02/12/2017;eticsearch;ES;iPad;0;0;21
03/12/2017;eticsearch;ES;iPad;0;0;15
04/12/2017;eticsearch;ES;iPad;0;0;13
05/12/2017;eticsearch;ES;iPad;0;0;14
06/12/2017;eticsearch;ES;iPad;0;0;16
07/12/2017;eticsearch;ES;iPad;0;0;15
08/12/2017;eticsearch;ES;iPad;0;0;11
09/12/2017;eticsearch;ES;iPad;0;0;13
10/12/2017;eticsearch;ES;iPad;0;0;16
11/12/2017;eticsearch;ES;iPad;0;0;15
12/12/2017;eticsearch;ES;iPad;0;0;10
13/12/2017;eticsearch;ES;iPad;0;0;20
14/12/2017;eticsearch;ES;iPad;1;0;12
15/12/2017;eticsearch;ES;iPad;0;0;15
16/12/2017;eticsearch;ES;iPad;0;0;13
17/12/2017;eticsearch;ES;iPad;0;0;8
18/12/2017;eticsearch;ES;iPad;0;0;13
19/12/2017;eticsearch;ES;iPad;0;0;9
20/12/2017;eticsearch;ES;iPad;0;0;19
21/12/2017;eticsearch;ES;iPad;0;0;18
22/12/2017;eticsearch;ES;iPad;0;0;6
23/12/2017;eticsearch;ES;iPad;0;0;15
24/12/2017;eticsearch;ES;iPad;0;0;9
25/12/2017;eticsearch;ES;iPad;0;0;16
26/12/2017;eticsearch;ES;iPad;0;0;20
27/12/2017;eticsearch;ES;iPad;0;0;27
28/12/2017;eticsearch;ES;iPad;0;0;22
29/12/2017;eticsearch;ES;iPad;0;0;25
30/12/2017;eticsearch;ES;iPad;0;0;11
31/12/2017;eticsearch;ES;iPad;0;0;8
01/01/2018;eticsearch;ES;iPad;0;0;9
02/01/2018;eticsearch;ES;iPad;0;0;22
03/01/2018;eticsearch;ES;iPad;0;0;26
04/01/2018;eticsearch;ES;iPad;0;0;19
05/01/2018;eticsearch;ES;iPad;1;0;17
06/01/2018;eticsearch;ES;iPad;0;0;11
07/01/2018;eticsearch;ES;iPad;0;0;16
08/01/2018;eticsearch;ES;iPad;0;0;13
09/01/2018;eticsearch;IT;iPad;0;0;12
10/01/2018;eticsearch;ES;iPad;0;0;19
11/01/2018;eticsearch;ES;iPad;0;0;12
12/01/2018;eticsearch;ES;iPad;0;0;15
13/01/2018;eticsearch;ES;iPad;0;0;19
14/01/2018;eticsearch;ES;iPad;0;0;9
15/01/2018;eticsearch;ES;iPad;0;0;11
16/01/2018;eticsearch;ES;iPad;0;0;14
17/01/2018;eticsearch;ES;iPad;0;0;20
18/01/2018;eticsearch;ES;iPad;0;0;20
19/01/2018;eticsearch;ES;iPad;0;0;13
20/01/2018;eticsearch;ES;iPad;0;0;10
21/01/2018;eticsearch;ES;iPad;0;0;9
22/01/2018;eticsearch;ES;iPad;0;0;18
23/01/2018;eticsearch;ES;iPad;0;0;19
24/01/2018;eticsearch;ES;iPad;0;0;16
25/01/2018;eticsearch;ES;iPad;0;0;15
26/01/2018;eticsearch;ES;iPad;0;0;18
27/01/2018;eticsearch;ES;iPad;0;0;7
28/01/2018;eticsearch;ES;iPad;0;0;7
29/01/2018;eticsearch;ES;iPad;0;0;21
30/01/2018;eticsearch;ES;iPad;0;0;29
31/01/2018;eticsearch;ES;iPad;0;0;13
01/02/2018;eticsearch;ES;iPad;0;0;12
02/02/2018;eticsearch;ES;iPad;0;0;21
03/02/2018;eticsearch;ES;iPad;0;0;14
04/02/2018;eticsearch;ES;iPad;0;0;15
05/02/2018;eticsearch;ES;iPad;0;0;15
06/02/2018;eticsearch;ES;iPad;0;0;33
07/02/2018;eticsearch;ES;iPad;0;0;19
08/02/2018;eticsearch;ES;iPad;0;0;16
09/02/2018;eticsearch;ES;iPad;0;0;20
10/02/2018;eticsearch;ES;iPad;0;0;21
11/02/2018;eticsearch;ES;iPad;0;0;12
12/02/2018;eticsearch;ES;iPad;0;0;13
13/02/2018;eticsearch;ES;iPad;0;0;13
14/02/2018;eticsearch;ES;iPad;0;0;12
15/02/2018;eticsearch;ES;iPad;0;0;18
16/02/2018;eticsearch;ES;iPad;0;0;10
17/02/2018;eticsearch;ES;iPad;0;0;9
18/02/2018;eticsearch;ES;iPad;0;0;13
19/02/2018;eticsearch;ES;iPad;0;0;18
20/02/2018;eticsearch;US;iPad;0;0;16
21/02/2018;eticsearch;ES;iPad;0;0;15
22/02/2018;eticsearch;ES;iPad;0;0;10
23/02/2018;eticsearch;ES;iPad;0;0;11
24/02/2018;eticsearch;ES;iPad;0;0;12
25/02/2018;eticsearch;ES;iPad;0;0;12
26/02/2018;eticsearch;ES;iPad;0;0;20
27/02/2018;eticsearch;ES;iPad;0;0;19
28/02/2018;eticsearch;ES;iPad;0;0;14
01/03/2018;eticsearch;ES;iPad;0;0;13
02/03/2018;eticsearch;ES;iPad;0;0;18
03/03/2018;eticsearch;ES;iPad;0;0;6
04/03/2018;eticsearch;ES;iPad;0;0;11
05/03/2018;eticsearch;ES;iPad;0;0;18
06/03/2018;eticsearch;ES;iPad;0;0;14
07/03/2018;eticsearch;ES;iPad;0;0;18
08/03/2018;eticsearch;ES;iPad;0;0;19
09/03/2018;eticsearch;ES;iPad;0;0;15
10/03/2018;eticsearch;ES;iPad;0;0;15
11/03/2018;eticsearch;ES;iPad;0;0;13
12/03/2018;eticsearch;ES;iPad;0;0;10
13/03/2018;eticsearch;ES;iPad;1;0;13
14/03/2018;eticsearch;ES;iPad;1;0;19
15/03/2018;eticsearch;ES;iPad;1;0;18
16/03/2018;eticsearch;ES;iPad;0;0;16
17/03/2018;eticsearch;ES;iPad;0;0;9
18/03/2018;eticsearch;ES;iPad;0;0;9
19/03/2018;eticsearch;ES;iPad;0;0;18
20/03/2018;eticsearch;ES;iPad;0;0;19
21/03/2018;eticsearch;ES;iPad;0;0;18
22/03/2018;eticsearch;ES;iPad;0;0;16
23/03/2018;eticsearch;ES;iPad;0;0;11
24/03/2018;eticsearch;ES;iPad;0;0;11
25/03/2018;eticsearch;ES;iPad;0;0;12
26/03/2018;eticsearch;ES;iPad;0;0;15
27/03/2018;eticsearch;ES;iPad;0;0;13
28/03/2018;eticsearch;ES;iPad;0;0;12
29/03/2018;eticsearch;ES;iPad;0;0;12
30/03/2018;eticsearch;ES;iPad;0;0;13
31/03/2018;eticsearch;ES;iPad;0;0;9
01/04/2018;eticsearch;ES;iPad;0;0;9
02/04/2018;eticsearch;ES;iPad;0;0;21
03/04/2018;eticsearch;ES;iPad;0;0;24
04/04/2018;eticsearch;ES;iPad;0;0;13
05/04/2018;eticsearch;ES;iPad;0;0;12
06/04/2018;eticsearch;ES;iPad;0;0;11
07/04/2018;eticsearch;ES;iPad;0;0;20
08/04/2018;eticsearch;ES;iPad;0;0;13
09/04/2018;eticsearch;ES;iPad;0;0;19
10/04/2018;eticsearch;ES;iPad;0;0;14
11/04/2018;eticsearch;ES;iPad;0;0;14
12/04/2018;eticsearch;ES;iPad;0;0;15
13/04/2018;eticsearch;ES;iPad;0;0;25
14/04/2018;eticsearch;ES;iPad;0;0;13
15/04/2018;eticsearch;ES;iPad;0;0;14
16/04/2018;eticsearch;ES;iPad;0;0;9
10/10/2017;eticsearch;ES;iPhone;22;0;158
11/10/2017;eticsearch;ES;iPhone;3;0;125
12/10/2017;eticsearch;ES;iPhone;0;0;67
13/10/2017;eticsearch;ES;iPhone;2;0;64
14/10/2017;eticsearch;ES;iPhone;0;0;31
15/10/2017;eticsearch;ES;iPhone;0;0;25
16/10/2017;eticsearch;ES;iPhone;16;0;94
17/10/2017;eticsearch;ES;iPhone;2;0;78
18/10/2017;eticsearch;ES;iPhone;2;0;43
19/10/2017;eticsearch;ES;iPhone;3;0;30
20/10/2017;eticsearch;ES;iPhone;2;0;25
21/10/2017;eticsearch;ES;iPhone;1;0;11
22/10/2017;eticsearch;ES;iPhone;0;0;15
23/10/2017;eticsearch;IT;iPhone;0;0;29
24/10/2017;eticsearch;ES;iPhone;0;0;30
25/10/2017;eticsearch;ES;iPhone;1;0;33
26/10/2017;eticsearch;ES;iPhone;3;0;28
27/10/2017;eticsearch;ES;iPhone;2;0;19
28/10/2017;eticsearch;ES;iPhone;1;0;11
29/10/2017;eticsearch;ES;iPhone;1;0;9
30/10/2017;eticsearch;ES;iPhone;1;0;15
31/10/2017;eticsearch;ES;iPhone;1;0;15
01/11/2017;eticsearch;ES;iPhone;1;0;16
02/11/2017;eticsearch;ES;iPhone;1;0;21
03/11/2017;eticsearch;ES;iPhone;0;0;11
04/11/2017;eticsearch;ES;iPhone;1;0;31
05/11/2017;eticsearch;ES;iPhone;1;0;10
06/11/2017;eticsearch;ES;iPhone;2;0;14
07/11/2017;eticsearch;ES;iPhone;2;0;15
08/11/2017;eticsearch;ES;iPhone;2;0;39
09/11/2017;eticsearch;ES;iPhone;1;0;17
10/11/2017;eticsearch;ES;iPhone;1;0;13
11/11/2017;eticsearch;ES;iPhone;3;0;11
12/11/2017;eticsearch;ES;iPhone;2;0;9
13/11/2017;eticsearch;ES;iPhone;6;0;13
14/11/2017;eticsearch;ES;iPhone;1;0;15
15/11/2017;eticsearch;ES;iPhone;3;0;26
16/11/2017;eticsearch;ES;iPhone;1;0;22
17/11/2017;eticsearch;ES;iPhone;2;0;25
18/11/2017;eticsearch;ES;iPhone;1;0;11
19/11/2017;eticsearch;ES;iPhone;1;0;8
20/11/2017;eticsearch;ES;iPhone;1;0;25
21/11/2017;eticsearch;ES;iPhone;1;0;37
22/11/2017;eticsearch;ES;iPhone;1;0;22
23/11/2017;eticsearch;ES;iPhone;1;0;33
24/11/2017;eticsearch;ES;iPhone;1;0;17
25/11/2017;eticsearch;ES;iPhone;0;0;6
26/11/2017;eticsearch;ES;iPhone;1;0;7
27/11/2017;eticsearch;ES;iPhone;1;0;24
28/11/2017;eticsearch;ES;iPhone;0;0;25
29/11/2017;eticsearch;ES;iPhone;1;0;30
30/11/2017;eticsearch;ES;iPhone;2;0;25
01/12/2017;eticsearch;ES;iPhone;4;0;29
02/12/2017;eticsearch;ES;iPhone;0;0;21
03/12/2017;eticsearch;ES;iPhone;1;0;13
04/12/2017;eticsearch;ES;iPhone;2;0;19
05/12/2017;eticsearch;ES;iPhone;1;0;12
06/12/2017;eticsearch;ES;iPhone;1;0;10
07/12/2017;eticsearch;ES;iPhone;0;0;10
08/12/2017;eticsearch;ES;iPhone;0;0;10
09/12/2017;eticsearch;ES;iPhone;0;0;5
10/12/2017;eticsearch;ES;iPhone;0;0;12
11/12/2017;eticsearch;ES;iPhone;0;0;10
12/12/2017;eticsearch;ES;iPhone;0;0;20
13/12/2017;eticsearch;ES;iPhone;1;0;13
14/12/2017;eticsearch;ES;iPhone;0;0;11
15/12/2017;eticsearch;ES;iPhone;0;0;10
16/12/2017;eticsearch;ES;iPhone;0;0;10
17/12/2017;eticsearch;ES;iPhone;0;0;4
18/12/2017;eticsearch;ES;iPhone;0;0;10
19/12/2017;eticsearch;ES;iPhone;1;0;13
20/12/2017;eticsearch;ES;iPhone;0;0;9
21/12/2017;eticsearch;ES;iPhone;0;0;13
22/12/2017;eticsearch;ES;iPhone;0;0;6
23/12/2017;eticsearch;ES;iPhone;1;0;5
24/12/2017;eticsearch;ES;iPhone;0;0;2
26/12/2017;eticsearch;ES;iPhone;0;0;8
27/12/2017;eticsearch;ES;iPhone;0;0;8
28/12/2017;eticsearch;ES;iPhone;0;0;13
29/12/2017;eticsearch;ES;iPhone;0;0;9
30/12/2017;eticsearch;ES;iPhone;0;0;4
31/12/2017;eticsearch;ES;iPhone;0;0;5
01/01/2018;eticsearch;ES;iPhone;0;0;4
02/01/2018;eticsearch;ES;iPhone;0;0;7
03/01/2018;eticsearch;ES;iPhone;0;0;12
04/01/2018;eticsearch;ES;iPhone;0;0;12
05/01/2018;eticsearch;ES;iPhone;0;0;5
06/01/2018;eticsearch;ES;iPhone;0;0;11
07/01/2018;eticsearch;ES;iPhone;0;0;8
08/01/2018;eticsearch;ES;iPhone;0;0;8
09/01/2018;eticsearch;ES;iPhone;0;0;20
10/01/2018;eticsearch;ES;iPhone;0;0;8
11/01/2018;eticsearch;ES;iPhone;3;0;9
12/01/2018;eticsearch;ES;iPhone;0;0;9
13/01/2018;eticsearch;ES;iPhone;2;0;4
14/01/2018;eticsearch;ES;iPhone;0;0;8
15/01/2018;eticsearch;ES;iPhone;0;0;18
16/01/2018;eticsearch;ES;iPhone;0;0;16
17/01/2018;eticsearch;ES;iPhone;0;0;15
18/01/2018;eticsearch;ES;iPhone;0;0;14
19/01/2018;eticsearch;ES;iPhone;0;0;8
20/01/2018;eticsearch;ES;iPhone;0;0;3
21/01/2018;eticsearch;ES;iPhone;0;0;7
22/01/2018;eticsearch;US;iPhone;1;0;14
23/01/2018;eticsearch;ES;iPhone;0;0;6
24/01/2018;eticsearch;ES;iPhone;0;0;8
25/01/2018;eticsearch;ES;iPhone;0;0;11
26/01/2018;eticsearch;ES;iPhone;0;0;4
27/01/2018;eticsearch;ES;iPhone;0;0;5
28/01/2018;eticsearch;ES;iPhone;0;0;11
29/01/2018;eticsearch;ES;iPhone;0;0;10
30/01/2018;eticsearch;ES;iPhone;0;0;14
31/01/2018;eticsearch;ES;iPhone;0;0;13
01/02/2018;eticsearch;ES;iPhone;0;0;9
02/02/2018;eticsearch;ES;iPhone;0;0;9
03/02/2018;eticsearch;ES;iPhone;0;0;6
04/02/2018;eticsearch;ES;iPhone;0;0;4
05/02/2018;eticsearch;ES;iPhone;0;0;9
06/02/2018;eticsearch;ES;iPhone;0;0;2
07/02/2018;eticsearch;ES;iPhone;0;0;32
08/02/2018;eticsearch;ES;iPhone;0;0;14
09/02/2018;eticsearch;ES;iPhone;11;0;22
10/02/2018;eticsearch;ES;iPhone;0;0;4
11/02/2018;eticsearch;ES;iPhone;0;0;8
12/02/2018;eticsearch;ES;iPhone;0;0;12
13/02/2018;eticsearch;ES;iPhone;0;0;14
14/02/2018;eticsearch;ES;iPhone;0;0;21
15/02/2018;eticsearch;ES;iPhone;0;0;14
16/02/2018;eticsearch;ES;iPhone;0;0;16
17/02/2018;eticsearch;ES;iPhone;0;0;5
18/02/2018;eticsearch;ES;iPhone;0;0;4
19/02/2018;eticsearch;ES;iPhone;0;0;14
20/02/2018;eticsearch;ES;iPhone;0;0;11
21/02/2018;eticsearch;ES;iPhone;0;0;11
22/02/2018;eticsearch;ES;iPhone;0;0;13
23/02/2018;eticsearch;ES;iPhone;0;0;11
24/02/2018;eticsearch;ES;iPhone;0;0;7
25/02/2018;eticsearch;ES;iPhone;0;0;8
26/02/2018;eticsearch;ES;iPhone;0;0;12
27/02/2018;eticsearch;ES;iPhone;1;0;6
28/02/2018;eticsearch;ES;iPhone;0;0;8
01/03/2018;eticsearch;ES;iPhone;0;0;8
02/03/2018;eticsearch;ES;iPhone;0;0;6
03/03/2018;eticsearch;ES;iPhone;0;0;9
04/03/2018;eticsearch;ES;iPhone;0;0;5
05/03/2018;eticsearch;ES;iPhone;0;0;8
06/03/2018;eticsearch;ES;iPhone;0;0;11
07/03/2018;eticsearch;ES;iPhone;0;0;7
08/03/2018;eticsearch;ES;iPhone;0;0;7
09/03/2018;eticsearch;ES;iPhone;0;0;6
10/03/2018;eticsearch;ES;iPhone;0;0;5
11/03/2018;eticsearch;ES;iPhone;0;0;2
12/03/2018;eticsearch;ES;iPhone;0;0;6
13/03/2018;eticsearch;ES;iPhone;0;0;13
14/03/2018;eticsearch;ES;iPhone;1;0;11
15/03/2018;eticsearch;ES;iPhone;0;0;9
16/03/2018;eticsearch;ES;iPhone;0;0;10
17/03/2018;eticsearch;ES;iPhone;0;0;2
18/03/2018;eticsearch;ES;iPhone;0;0;4
19/03/2018;eticsearch;ES;iPhone;0;0;7
20/03/2018;eticsearch;ES;iPhone;0;0;10
21/03/2018;eticsearch;ES;iPhone;0;0;8
22/03/2018;eticsearch;ES;iPhone;0;0;15
23/03/2018;eticsearch;ES;iPhone;0;0;14
24/03/2018;eticsearch;ES;iPhone;0;0;2
25/03/2018;eticsearch;ES;iPhone;1;0;6
26/03/2018;eticsearch;ES;iPhone;0;0;6
27/03/2018;eticsearch;ES;iPhone;0;0;14
28/03/2018;eticsearch;ES;iPhone;0;0;8
29/03/2018;eticsearch;ES;iPhone;0;0;6
30/03/2018;eticsearch;ES;iPhone;0;0;4
31/03/2018;eticsearch;ES;iPhone;0;0;3
01/04/2018;eticsearch;ES;iPhone;0;0;8
02/04/2018;eticsearch;ES;iPhone;0;0;8
03/04/2018;eticsearch;ES;iPhone;0;0;3
04/04/2018;eticsearch;ES;iPhone;0;0;9
05/04/2018;eticsearch;ES;iPhone;0;0;13
06/04/2018;eticsearch;ES;iPhone;0;0;11
07/04/2018;eticsearch;ES;iPhone;0;0;5
08/04/2018;eticsearch;ES;iPhone;0;0;2
09/04/2018;eticsearch;ES;iPhone;0;0;14
10/04/2018;eticsearch;ES;iPhone;0;0;10
11/04/2018;eticsearch;ES;iPhone;0;0;8
12/04/2018;eticsearch;ES;iPhone;1;0;11
13/04/2018;eticsearch;ES;iPhone;0;0;24
14/04/2018;eticsearch;ES;iPhone;0;0;12
15/04/2018;eticsearch;ES;iPhone;0;0;4
16/04/2018;eticsearch;ES;iPhone;0;0;7
